Visitor,Home,Winner
Detroit Pistons,New Orleans Pelicans,New Orleans Pelicans
Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers
Boston Celtics,Phoenix Suns,Phoenix Suns
Orlando Magic,Los Angeles Clippers,Los Angeles Clippers
Utah Jazz,Washington Wizards,Utah Jazz
Sacramento Kings,Cleveland Cavaliers,Cleveland Cavaliers
Houston Rockets,Memphis Grizzlies,Memphis Grizzlies
Chicago Bulls,Miami Heat,Miami Heat
Golden State Warriors,Philadelphia 76ers,Philadelphia 76ers
Denver Nuggets,San Antonio Spurs,Denver Nuggets
Milwaukee Bucks,New York Knicks,Milwaukee Bucks
Brooklyn Nets,Detroit Pistons,Brooklyn Nets
Dallas Mavericks,Oklahoma City Thunder,Dallas Mavericks
New Orleans Pelicans,San Antonio Spurs,San Antonio Spurs
Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves
Orlando Magic,Los Angeles Lakers,Los Angeles Lakers
Miami Heat,Cleveland Cavaliers,Cleveland Cavaliers
Golden State Warriors,Indiana Pacers,Golden State Warriors
Sacramento Kings,Toronto Raptors,Toronto Raptors
Houston Rockets,Atlanta Hawks,Houston Rockets
Milwaukee Bucks,Boston Celtics,Boston Celtics
Philadelphia 76ers,Memphis Grizzlies,Memphis Grizzlies
Charlotte Hornets,Dallas Mavericks,Dallas Mavericks
Washington Wizards,Denver Nuggets,Denver Nuggets
Phoenix Suns,Los Angeles Clippers,Los Angeles Clippers
Toronto Raptors,Brooklyn Nets,Brooklyn Nets
Golden State Warriors,New York Knicks,Golden State Warriors
Phoenix Suns,Portland Trail Blazers,Phoenix Suns
Houston Rockets,Cleveland Cavaliers,Cleveland Cavaliers
Atlanta Hawks,Orlando Magic,Atlanta Hawks
Miami Heat,Philadelphia 76ers,Miami Heat
Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers
Indiana Pacers,Milwaukee Bucks,Milwaukee Bucks
New Orleans Pelicans,Oklahoma City Thunder,New Orleans Pelicans
Charlotte Hornets,San Antonio Spurs,Charlotte Hornets
Minnesota Timberwolves,Denver Nuggets,Minnesota Timberwolves
Memphis Grizzlies,Portland Trail Blazers,Memphis Grizzlies
Washington Wizards,Sacramento Kings,Sacramento Kings
Los Angeles Clippers,Utah Jazz,Utah Jazz
Detroit Pistons,Indiana Pacers,Indiana Pacers
Philadelphia 76ers,Brooklyn Nets,Brooklyn Nets
New York Knicks,Houston Rockets,New York Knicks
Washington Wizards,Phoenix Suns,Phoenix Suns
Miami Heat,Orlando Magic,Miami Heat
Denver Nuggets,Atlanta Hawks,Denver Nuggets
Golden State Warriors,Boston Celtics,Golden State Warriors
Milwaukee Bucks,New Orleans Pelicans,New Orleans Pelicans
San Antonio Spurs,Utah Jazz,San Antonio Spurs
Los Angeles Lakers,Minnesota Timberwolves,Minnesota Timberwolves
Charlotte Hornets,Portland Trail Blazers,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings,Memphis Grizzlies
Houston Rockets,Detroit Pistons,Houston Rockets
New York Knicks,Boston Celtics,Boston Celtics
Orlando Magic,Brooklyn Nets,Orlando Magic
Golden State Warriors,Toronto Raptors,Toronto Raptors
Los Angeles Clippers,Oklahoma City Thunder,Oklahoma City Thunder
Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers
Washington Wizards,Utah Jazz,Washington Wizards
Miami Heat,Detroit Pistons,Detroit Pistons
Portland Trail Blazers,Memphis Grizzlies,Portland Trail Blazers
San Antonio Spurs,Sacramento Kings,Sacramento Kings
Los Angeles Lakers,Chicago Bulls,Chicago Bulls
Dallas Mavericks,Minnesota Timberwolves,Minnesota Timberwolves
Charlotte Hornets,Phoenix Suns,Phoenix Suns
Philadelphia 76ers,Boston Celtics,Philadelphia 76ers
Houston Rockets,Chicago Bulls,Chicago Bulls
Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder
Charlotte Hornets,Utah Jazz,Utah Jazz
Sacramento Kings,Golden State Warriors,Golden State Warriors
San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs
Indiana Pacers,Miami Heat,Miami Heat
Detroit Pistons,New York Knicks,New York Knicks
Portland Trail Blazers,New Orleans Pelicans,New Orleans Pelicans
Minnesota Timberwolves,Dallas Mavericks,Dallas Mavericks
Phoenix Suns,Los Angeles Lakers,Phoenix Suns
Orlando Magic,Atlanta Hawks,Orlando Magic
Cleveland Cavaliers,Boston Celtics,Boston Celtics
Houston Rockets,Milwaukee Bucks,Milwaukee Bucks
Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder
Los Angeles Clippers,Sacramento Kings,Los Angeles Clippers
Houston Rockets,Indiana Pacers,Indiana Pacers
New Orleans Pelicans,Orlando Magic,New Orleans Pelicans
Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks
Detroit Pistons,Miami Heat,Miami Heat
Washington Wizards,New York Knicks,Washington Wizards
Milwaukee Bucks,Dallas Mavericks,Milwaukee Bucks
Charlotte Hornets,Denver Nuggets,Charlotte Hornets
Oklahoma City Thunder,Phoenix Suns,Phoenix Suns
Minnesota Timberwolves,Utah Jazz,Utah Jazz
Memphis Grizzlies,Golden State Warriors,Golden State Warriors
San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs
Atlanta Hawks,New York Knicks,New York Knicks
Boston Celtics,Milwaukee Bucks,Milwaukee Bucks
Golden State Warriors,Phoenix Suns,Golden State Warriors
